,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Flin Flon,CA,54.7682,-101.865,58.84,72,100,3.44,overcast clouds
274,Mayma,RU,52.0197,85.9114,57.2,91,77,6.29,broken clouds
275,Balakhta,RU,55.38,91.6,52.97,89,74,3.94,broken clouds
276,Kismayo,SO,-0.3582,42.5454,75.38,80,39,17.87,scattered clouds
277,Vestmannaeyjar,IS,63.4427,-20.2734,51.53,91,100,3.76,overcast clouds
278,Port Blair,IN,11.6667,92.75,77.04,100,100,3.44,mist
279,Chernyy Yar,RU,48.0624,46.1091,66.34,63,38,4.88,scattered clouds
280,Norton,ZW,-17.8833,30.7,57.27,58,88,4.94,overcast clouds
281,Tiarei,PF,-17.5333,-149.3333,82.42,78,19,7.25,light rain
282,Ponta Do Sol,PT,32.6667,-17.1,72.72,79,5,7.09,clear sky
283,Fukuma,JP,33.7667,130.4667,76.28,86,7,1.43,clear sky
284,Pilar,BR,-9.5972,-35.9567,73.33,94,80,4.52,broken clouds
285,Kabare,CD,-2.4683,28.8242,63.32,67,37,0.58,scattered clouds
286,Tamworth,GB,52.634,-1.6959,63.82,89,71,1.01,broken clouds
287,Nantucket,US,41.2835,-70.0995,89.71,64,0,10.36,clear sky
288,Port Macquarie,AU,-31.4333,152.9167,53.89,82,52,11.68,broken clouds
289,Alugan,PH,12.2188,125.4808,79.95,82,100,0.63,overcast clouds
290,Iranshahr,IR,27.2025,60.6848,95.34,43,75,0.0,broken clouds
291,Cabo San Lucas,MX,22.8909,-109.9124,100.62,58,80,8.48,broken clouds
292,Hami,CN,42.8,93.45,78.85,19,0,0.87,clear sky
293,Luderitz,NA,-26.6481,15.1594,58.89,69,61,14.23,broken clouds
294,Manono,CD,-7.3,27.4167,79.68,32,52,3.24,broken clouds
295,Le Mans,FR,48.0,0.2,69.73,78,0,5.75,clear sky
296,Sorland,NO,67.667,12.6934,49.86,90,100,21.54,overcast clouds
297,Whitefish,US,48.4111,-114.3376,74.41,43,92,6.96,overcast clouds
298,Srandakan,ID,-7.9386,110.2506,73.6,88,78,4.74,broken clouds
299,Belyy Yar,RU,53.6039,91.3903,58.89,94,40,4.47,light intensity shower rain
300,Jackson,US,42.4165,-122.8345,88.02,25,0,5.75,clear sky
301,Floriano,BR,-6.7669,-43.0225,88.41,30,100,5.3,overcast clouds
302,Icod De Los Vinos,ES,28.3724,-16.7119,77.34,60,38,13.24,scattered clouds
303,Haines Junction,CA,60.7522,-137.5108,55.35,58,95,5.75,overcast clouds
304,Frycovice,CZ,49.6668,18.2232,76.8,50,0,1.14,clear sky
305,Torbay,CA,47.6666,-52.7314,78.28,70,75,10.36,broken clouds
306,Kenai,US,60.5544,-151.2583,59.02,73,0,18.41,clear sky
307,Uttaradit,TH,17.6667,100.5,70.72,100,100,1.36,overcast clouds
308,Porto Walter,BR,-8.2686,-72.7439,92.16,35,94,1.5,overcast clouds
309,Longyearbyen,SJ,78.2186,15.6401,49.84,81,75,5.75,broken clouds
310,Sinnamary,GF,5.3833,-52.95,80.6,79,50,7.09,scattered clouds
311,Bambanglipuro,ID,-7.95,110.2833,73.36,88,73,4.65,broken clouds
312,Javornik,CZ,50.3908,17.0027,73.65,64,0,2.1,clear sky
313,Cairns,AU,-16.9167,145.7667,65.07,90,40,11.5,scattered clouds
314,Alibag,IN,18.6411,72.8792,80.67,84,100,7.56,overcast clouds
315,Port Hardy,CA,50.6996,-127.4199,64.58,68,75,6.91,broken clouds
316,Jambi,ID,-1.6,103.6167,73.4,98,86,1.86,overcast clouds
317,Clinton,US,42.587,-82.9199,93.79,41,20,5.75,few clouds
318,Borovoy,RU,55.4333,86.0833,58.28,100,40,11.18,scattered clouds
319,Hualmay,PE,-11.0964,-77.6139,65.05,75,34,9.35,scattered clouds
320,Hearst,CA,49.6835,-83.6665,71.85,73,99,6.91,overcast clouds
321,Baraki Barak,AF,33.9675,68.9486,75.22,63,90,4.54,overcast clouds
322,Brookings,US,44.3114,-96.7984,88.14,55,0,6.91,clear sky
323,Qujing,CN,25.4833,103.7833,62.22,92,100,3.62,overcast clouds
324,Gao,ML,16.6362,1.637,97.05,24,51,4.47,broken clouds
325,Masuri,KR,35.8488,128.1492,69.49,97,41,2.13,scattered clouds
326,Galesong,ID,-5.3166,119.3661,73.42,84,85,9.37,overcast clouds
327,Pandhana,IN,21.7,76.2167,74.21,95,100,8.99,light rain
328,Walvis Bay,NA,-22.9575,14.5053,61.75,63,0,0.0,clear sky
329,Praia,CV,14.9215,-23.5087,77.54,83,75,4.61,broken clouds
330,Kaitangata,NZ,-46.2817,169.8464,36.66,92,14,3.62,few clouds
331,Itatskiy,RU,56.07,89.0369,53.33,95,77,7.2,broken clouds
332,Salym,RU,60.0625,71.4789,48.36,92,84,0.27,broken clouds
333,Pokhara,NP,28.2333,83.9833,71.87,94,100,1.7,overcast clouds
334,Shingu,JP,33.7333,135.9833,74.01,84,0,4.56,clear sky
335,Manoel Urbano,BR,-8.8389,-69.2597,88.81,47,70,2.89,broken clouds
336,San Quintin,MX,30.4833,-115.95,74.73,62,95,16.2,overcast clouds
337,Moerai,PF,-22.4333,-151.3333,73.04,59,79,12.88,broken clouds
338,Vila,PT,42.0304,-8.1588,63.7,66,0,5.91,clear sky
