City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Yamethin,MM,2022-07-18 23:07:22,20.4333,96.15,77.0,88,100,7.23
165,Joshimath,IN,2022-07-18 23:11:49,30.5667,79.5667,72.36,94,84,1.52
166,Ayan,RU,2022-07-18 23:11:50,56.45,138.1667,56.73,97,100,10.51
167,Georgetown,MY,2022-07-18 23:07:16,5.4112,100.3354,82.33,93,40,2.3
168,Touros,BR,2022-07-18 23:11:50,-5.1989,-35.4608,75.97,85,83,14.05
169,Letterkenny,IE,2022-07-18 23:11:50,54.95,-7.7333,63.23,94,100,2.06
170,Vrakhation,GR,2022-07-18 23:11:51,37.959,22.8057,79.39,50,0,4.43
171,Pangnirtung,CA,2022-07-18 23:11:51,66.1451,-65.7125,48.31,69,98,2.86
172,New Norfolk,AU,2022-07-18 23:11:21,-42.7826,147.0587,43.92,88,78,2.55
173,Coahuayana,MX,2022-07-18 23:07:01,18.7333,-103.6833,86.68,67,98,4.54
174,Shimoda,JP,2022-07-18 23:11:40,34.6667,138.95,79.72,92,100,17.74
175,Atuona,PF,2022-07-18 23:11:52,-9.8,-139.0333,77.65,67,62,16.11
176,Kuito,AO,2022-07-18 23:11:52,-12.3833,16.9333,53.22,43,3,2.3
177,Saldanha,ZA,2022-07-18 23:07:45,-33.0117,17.9442,55.38,79,0,10.16
178,Lexington,US,2022-07-18 23:10:26,37.9887,-84.4777,82.92,72,40,3.44
179,Tabou,CI,2022-07-18 23:11:52,4.423,-7.3528,75.16,76,97,10.07
180,Gizo,SB,2022-07-18 23:11:53,-8.103,156.8419,83.19,65,67,5.61
181,Luanda,AO,2022-07-18 23:12:53,-8.8368,13.2343,68.2,92,0,5.99
182,Hami,CN,2022-07-18 23:12:53,42.8,93.45,77.83,32,92,6.62
183,Adrar,MR,2022-07-18 23:12:53,20.5022,-10.0711,96.13,15,57,5.28
184,Ust-Maya,RU,2022-07-18 23:12:54,60.4167,134.5333,73.44,48,100,10.63
185,Mazatlan,MX,2022-07-18 23:12:10,23.2167,-106.4167,87.76,79,75,10.36
186,Athmallik,IN,2022-07-18 23:12:54,20.7219,84.5348,76.53,89,94,2.15
187,Hlotse,LS,2022-07-18 23:12:55,-28.8718,28.045,41.58,46,0,2.44
188,Moba,CN,2022-07-18 23:12:55,33.2288,105.0179,59.05,75,100,5.39
189,Nome,US,2022-07-18 23:12:56,64.5011,-165.4064,44.67,76,100,21.85
190,Abong Mbang,CM,2022-07-18 23:12:56,3.9833,13.1833,67.37,94,100,2.93
191,Esperance,AU,2022-07-18 23:12:56,-33.8667,121.9,51.64,89,33,5.44
192,Tevaitoa,PF,2022-07-18 23:12:57,-16.7833,-151.5,76.6,66,36,5.66
193,Sisimiut,GL,2022-07-18 23:12:57,66.9395,-53.6735,45.09,90,100,2.42
194,Manokwari,ID,2022-07-18 23:12:06,-0.8667,134.0833,80.33,72,73,0.18
195,Deputatskiy,RU,2022-07-18 23:12:57,69.3,139.9,41.61,87,100,3.69
196,Lubartow,PL,2022-07-18 23:12:58,51.4603,22.6095,63.46,75,97,6.35
197,Mbandaka,CD,2022-07-18 23:10:56,0.0487,18.2603,67.6,98,100,4.45
198,Synya,RU,2022-07-18 23:12:58,65.3718,58.0387,57.92,89,50,2.98
199,Wilmington,US,2022-07-18 23:12:59,34.2257,-77.9447,85.95,76,20,12.66
200,Kaitangata,NZ,2022-07-18 23:11:45,-46.2817,169.8464,46.4,91,100,7.96
201,Staryy Nadym,RU,2022-07-18 23:12:59,65.6118,72.6842,54.46,65,18,11.03
202,General Roca,AR,2022-07-18 23:13:00,-39.0333,-67.5833,45.63,32,91,6.85
203,Keflavik,IS,2022-07-18 23:13:00,64.0049,-22.5624,52.23,82,100,3.44
204,Port-Gentil,GA,2022-07-18 23:13:00,-0.7193,8.7815,75.16,83,40,8.05
205,Nouadhibou,MR,2022-07-18 23:13:01,20.931,-17.0347,68.47,89,22,16.35
206,Aklavik,CA,2022-07-18 23:13:01,68.2191,-135.0107,67.6,56,100,11.86
207,Mangrol,IN,2022-07-18 23:13:01,21.1167,70.1167,80.73,84,99,14.56
208,Itanhandu,BR,2022-07-18 23:13:02,-22.2958,-44.9347,61.41,90,85,3.38
209,Yangambi,CD,2022-07-18 23:13:02,0.8102,24.4336,68.31,95,100,1.63
210,Longyearbyen,SJ,2022-07-18 23:13:03,78.2186,15.6401,51.64,66,40,9.22
211,Lagoa,PT,2022-07-18 23:13:03,39.05,-27.9833,69.31,89,82,11.72
212,Guayaramerin,BO,2022-07-18 23:13:03,-10.8368,-65.3614,79.23,59,7,1.21
213,Inhambane,MZ,2022-07-18 23:13:04,-23.865,35.3833,68.05,88,2,1.63
214,Arraial Do Cabo,BR,2022-07-18 23:11:06,-22.9661,-42.0278,71.1,85,94,10.89
215,Adjumani,UG,2022-07-18 23:09:21,3.3779,31.7909,66.67,92,98,0.85
216,Dingle,PH,2022-07-18 23:13:04,10.9995,122.6711,74.89,97,100,9.71
217,Marquette,US,2022-07-18 23:09:52,46.5333,-87.6335,87.78,69,20,6.29
218,Mouzouras,GR,2022-07-18 23:13:05,35.5333,24.15,73.4,78,0,5.75
219,Kahului,US,2022-07-18 23:13:05,20.8947,-156.47,89.62,59,20,23.02
220,Umm Lajj,SA,2022-07-18 23:13:05,25.0213,37.2685,85.87,57,0,8.32
221,Norden,DE,2022-07-18 23:13:06,53.6,7.2,66.94,68,8,5.82
222,Ust-Kuyga,RU,2022-07-18 23:13:06,70.0167,135.6,42.28,85,100,11.3
223,San Quintin,MX,2022-07-18 23:13:06,30.4833,-115.95,75.52,60,2,9.35
224,Markova,UA,2022-07-18 23:13:07,48.6758,24.4138,55.15,66,33,4.65
225,Belmonte,BR,2022-07-18 23:09:45,-15.8631,-38.8828,71.29,80,20,7.09
226,Cockburn Town,TC,2022-07-18 23:14:07,21.4612,-71.1419,81.73,81,0,17.81
227,Mantua,IT,2022-07-18 23:14:08,45.1667,10.7833,81.64,71,12,3.0
228,Namatanai,PG,2022-07-18 23:14:08,-3.6667,152.4333,83.59,69,96,8.23
229,Guane,CU,2022-07-18 23:14:09,22.2025,-84.0875,85.78,68,4,4.43
230,Geraldton,AU,2022-07-18 23:10:53,-28.7667,114.6,52.21,93,32,9.22
231,Somerville,US,2022-07-18 23:14:09,42.3876,-71.0995,78.78,90,100,10.36
232,Dolores,AR,2022-07-18 23:14:10,-36.3132,-57.6792,45.5,59,54,5.7
233,Nuuk,GL,2022-07-18 23:14:10,64.1835,-51.7216,48.81,76,75,6.91
234,Ponta Do Sol,PT,2022-07-18 23:14:11,32.6667,-17.1,71.71,81,10,3.94
235,San Angelo,US,2022-07-18 23:14:08,31.4638,-100.437,109.11,15,0,11.5
236,Luderitz,NA,2022-07-18 23:14:11,-26.6481,15.1594,57.18,86,1,12.82
237,Raudeberg,NO,2022-07-18 23:14:12,61.9875,5.1352,54.27,83,98,8.08
238,Komsomolskiy,UZ,2022-07-18 23:14:12,40.4272,71.7189,79.52,29,0,11.5
239,Merauke,ID,2022-07-18 23:14:12,-8.4667,140.3333,77.34,85,88,12.44
240,Cap-Aux-Meules,CA,2022-07-18 23:13:01,47.3821,-61.8597,67.86,83,71,17.36
241,Inirida,CO,2022-07-18 23:14:13,3.8653,-67.9239,75.52,96,81,0.92
242,Winnipeg,CA,2022-07-18 23:10:12,49.8844,-97.147,87.1,58,37,8.99
243,Chumikan,RU,2022-07-18 23:14:13,54.7183,135.315,52.63,99,100,13.65
244,Axim,GH,2022-07-18 23:14:13,4.8699,-2.2405,74.88,79,95,8.61
245,Wanning,CN,2022-07-18 23:14:14,18.8003,110.3967,82.54,89,97,9.42
246,Pacific Grove,US,2022-07-18 23:14:14,36.6177,-121.9166,80.55,80,0,10.36
247,Faanui,PF,2022-07-18 23:14:15,-16.4833,-151.75,76.55,68,63,6.38
248,Lethem,GY,2022-07-18 23:14:15,3.3803,-59.7968,78.1,85,89,5.41
249,Ilulissat,GL,2022-07-18 23:14:15,69.2167,-51.1,50.02,66,20,3.44
250,Dawei,MM,2022-07-18 23:14:16,14.0833,98.2,76.93,93,84,0.78
251,Lucea,JM,2022-07-18 23:14:16,18.451,-78.1736,81.86,83,97,10.07
252,Calabozo,VE,2022-07-18 23:14:16,8.9242,-67.4293,76.75,91,61,4.68
253,Ambulu,ID,2022-07-18 23:14:17,-8.345,113.6058,72.82,89,86,3.91
254,Novyy Urgal,RU,2022-07-18 23:14:17,51.0736,132.5642,63.1,87,100,1.12
255,Mandalgovi,MN,2022-07-18 23:14:17,45.7625,106.2708,69.94,36,96,9.6
256,Bereda,ES,2022-07-18 23:14:18,43.2686,-7.5406,57.49,97,12,1.74
257,San Jose,US,2022-07-18 23:12:25,37.3394,-121.895,98.85,39,20,14.97
258,Hamilton,US,2022-07-18 23:09:27,39.1834,-84.5333,84.6,68,40,5.75
259,North Bend,US,2022-07-18 23:14:18,43.4065,-124.2243,84.24,81,0,28.77
260,Hualmay,PE,2022-07-18 23:14:19,-11.0964,-77.6139,63.5,79,65,11.12
261,Kirakira,SB,2022-07-18 23:14:19,-10.4544,161.9205,82.72,73,14,6.64
262,Harnosand,SE,2022-07-18 23:14:19,62.6323,17.9379,55.0,79,74,8.61
263,Klaksvik,FO,2022-07-18 23:12:08,62.2266,-6.589,50.92,88,100,12.66
264,Chokurdakh,RU,2022-07-18 23:10:46,70.6333,147.9167,43.25,62,83,13.51
265,Sarkand,KZ,2022-07-18 23:14:20,45.41,79.9186,62.19,56,77,3.15
266,Havelock,US,2022-07-18 23:14:20,34.8791,-76.9013,84.18,87,0,8.05
267,Chute-Aux-Outardes,CA,2022-07-18 23:14:21,49.1168,-68.399,63.1,90,82,1.83
268,Mulege,MX,2022-07-18 23:14:21,26.8833,-111.9833,94.17,45,9,9.4
269,Makakilo City,US,2022-07-18 23:12:22,21.3469,-158.0858,84.52,63,100,18.41
270,Bubaque,GW,2022-07-18 23:12:15,11.2833,-15.8333,79.59,84,99,11.41
271,Okha,RU,2022-07-18 23:14:22,53.5739,142.9478,53.67,98,98,15.5
272,Maun,BW,2022-07-18 23:14:22,-19.9833,23.4167,52.79,56,0,6.22
273,Labuhan,ID,2022-07-18 23:14:22,-6.8844,112.2051,75.74,87,99,7.18
274,Moron,AR,2022-07-18 23:15:23,-34.6534,-58.6198,55.15,50,71,5.23
275,Guaratinga,BR,2022-07-18 23:15:23,-16.5667,-39.5667,64.76,83,7,3.0
276,East London,ZA,2022-07-18 23:15:23,-33.0153,27.9116,69.12,35,13,9.78
277,Linhares,BR,2022-07-18 23:15:24,-19.3911,-40.0722,66.74,87,33,4.16
278,Cervo,ES,2022-07-18 23:15:24,43.6702,-7.4101,63.97,89,57,5.14
279,Ancud,CL,2022-07-18 23:15:24,-41.8697,-73.8203,42.22,74,13,8.01
280,Sinnamary,GF,2022-07-18 23:15:25,5.3833,-52.95,78.53,85,33,8.75
281,Portree,GB,2022-07-18 23:15:25,57.4129,-6.1942,60.53,89,97,3.67
282,Parkersburg,US,2022-07-18 23:15:26,39.2667,-81.5615,78.01,79,75,3.44
283,Severo-Kurilsk,RU,2022-07-18 23:15:26,50.6789,156.125,56.3,88,94,6.13
284,Pevek,RU,2022-07-18 23:15:27,69.7008,170.3133,32.99,83,100,4.38
285,San Juan,AR,2022-07-18 23:12:23,-31.5375,-68.5364,49.35,44,0,6.02
286,Cherskiy,RU,2022-07-18 23:15:27,68.75,161.3,57.92,48,66,9.64
287,Baykit,RU,2022-07-18 23:15:27,61.67,96.37,57.16,97,96,5.91
288,Bairiki,KI,2022-07-18 23:15:27,1.3292,172.9752,86.0,70,20,17.27
289,Batagay-Alyta,RU,2022-07-18 23:15:28,67.8006,130.4114,46.92,91,100,5.68
290,Bambous Virieux,MU,2022-07-18 23:15:28,-20.3428,57.7575,69.22,73,75,20.71
291,Nanortalik,GL,2022-07-18 23:12:28,60.1432,-45.2371,46.56,81,81,4.41
292,Hervey Bay,AU,2022-07-18 23:15:28,-25.2986,152.8535,63.82,66,56,12.66
293,Korla,CN,2022-07-18 23:12:17,41.7597,86.1469,80.04,18,4,13.09
294,Acajutla,SV,2022-07-18 23:15:29,13.5928,-89.8275,84.83,73,64,5.5
